Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
https://www.demoblaze.com/index.html,36,161,95,395,412,451,36,451,0.00%,.1,23.5,146.75
https://www.demoblaze.com/index.html-0,10,109,104,118,118,149,82,149,0.00%,.1,.6,16.88
https://www.demoblaze.com/index.html-1,10,50,53,58,58,58,38,58,0.00%,.1,.4,7.12
https://www.demoblaze.com/index.html-2,10,117,109,138,138,153,103,153,0.00%,.1,2.8,15.40
https://www.demoblaze.com/index.html-3,10,101,103,111,111,118,80,118,0.00%,.1,1.0,10.44
https://www.demoblaze.com/index.html-4,10,93,95,102,102,105,80,105,0.00%,.1,.2,8.46
https://www.demoblaze.com/index.html-5,10,93,96,101,101,109,79,109,0.00%,.1,.1,9.02
https://www.demoblaze.com/index.html-6,10,95,97,101,101,105,80,105,0.00%,.1,.3,7.55
https://www.demoblaze.com/index.html-7,10,109,109,131,131,133,74,133,0.00%,.1,1.9,17.51
https://www.demoblaze.com/index.html-8,10,110,104,137,137,140,81,140,0.00%,.1,2.3,18.24
https://www.demoblaze.com/index.html-9,10,111,108,128,128,137,77,137,0.00%,.1,2.4,16.97
https://www.demoblaze.com/index.html-10,10,119,119,132,132,163,83,163,0.00%,.1,2.8,20.21
https://www.demoblaze.com/index.html-11,10,167,162,213,213,247,110,247,0.00%,.1,15.3,38.79
https://www.demoblaze.com/index.html-12,10,141,146,167,167,196,92,196,0.00%,.1,7.2,30.36
https://www.demoblaze.com/index.html-13,10,57,58,69,69,101,37,101,0.00%,.1,.7,17.62
https://www.demoblaze.com/index.html-14,10,58,60,63,63,80,39,80,0.00%,.1,1.5,10.53
https://www.demoblaze.com/index.html-15,10,50,53,58,58,58,38,58,0.00%,.1,.5,7.95
https://www.demoblaze.com/config.json,56,49,52,57,58,59,33,81,0.00%,.2,.1,9.17
https://api.demoblaze.com/entries,36,118,120,141,152,217,74,217,0.00%,.1,.4,28.30
https://hls.demoblaze.com/index.m3u8,55,15,8,42,43,44,2,91,0.00%,.2,.1,16.70
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,55,5,6,7,7,10,3,12,0.00%,.2,.3,1.39
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,54,11,6,34,37,38,3,39,0.00%,.2,22.3,11.23
Load_Home,10,651,613,695,695,804,597,804,0.00%,.1,77.6,60.21
https://api.demoblaze.com/signup,20,90,58,135,149,281,51,281,0.00%,.1,.0,54.39
Sign In,10,181,160,202,202,334,123,334,0.00%,.1,.0,55.76
https://api.demoblaze.com/login,20,77,63,105,125,142,48,142,0.00%,.1,.0,28.15
https://api.demoblaze.com/check,76,65,63,84,91,94,49,96,10.53%,.3,.1,13.23
Login,10,511,505,545,545,550,452,550,20.00%,.1,.3,29.86
https://www.demoblaze.com/prod.html?idp_=5,10,220,220,227,227,233,210,233,0.00%,.1,1.7,6.57
https://www.demoblaze.com/prod.html?idp_=5-0,10,59,58,62,62,71,51,71,0.00%,.1,1.3,4.82
https://www.demoblaze.com/prod.html?idp_=5-1,10,50,53,55,55,59,35,59,0.00%,.1,.0,7.36
https://www.demoblaze.com/prod.html?idp_=5-2,10,59,54,94,94,96,36,96,0.00%,.1,.0,18.96
https://www.demoblaze.com/prod.html?idp_=5-3,10,59,55,79,79,93,37,93,0.00%,.1,.0,14.95
https://www.demoblaze.com/prod.html?idp_=5-4,10,58,55,81,81,101,34,101,0.00%,.1,.0,18.83
https://www.demoblaze.com/prod.html?idp_=5-5,10,60,54,86,86,107,34,107,0.00%,.1,.0,19.63
https://www.demoblaze.com/prod.html?idp_=5-6,10,56,55,78,78,81,38,81,0.00%,.1,.0,13.19
https://www.demoblaze.com/prod.html?idp_=5-7,10,72,54,100,100,102,35,102,0.00%,.1,.0,24.39
https://www.demoblaze.com/prod.html?idp_=5-8,10,64,54,98,98,103,35,103,0.00%,.1,.0,22.94
https://www.demoblaze.com/prod.html?idp_=5-9,10,81,81,105,105,108,40,108,0.00%,.1,.0,22.74
https://www.demoblaze.com/prod.html?idp_=5-10,10,83,85,104,104,105,52,105,0.00%,.1,.0,20.69
https://www.demoblaze.com/prod.html?idp_=5-11,10,80,79,101,101,105,37,105,0.00%,.1,.0,23.07
https://www.demoblaze.com/prod.html?idp_=5-12,10,80,79,106,106,110,34,110,0.00%,.1,.3,26.18
https://api.demoblaze.com/view,40,66,61,83,99,151,50,151,0.00%,.3,.1,18.83
Select_Product,10,551,542,578,578,594,533,594,20.00%,.1,1.9,18.48
https://api.demoblaze.com/addtocart,20,83,60,134,140,140,48,140,10.00%,.1,.0,34.33
AddToCart,10,167,168,191,191,200,118,200,20.00%,.1,.0,24.98
https://www.demoblaze.com/cart.html,10,237,233,268,268,294,198,294,0.00%,.1,2.1,27.34
https://www.demoblaze.com/cart.html-0,10,64,58,73,73,99,55,99,0.00%,.1,.7,13.05
https://www.demoblaze.com/cart.html-1,10,50,53,55,55,55,35,55,0.00%,.1,.0,6.75
https://www.demoblaze.com/cart.html-2,10,55,53,57,57,94,36,94,0.00%,.1,.0,13.85
https://www.demoblaze.com/cart.html-3,10,59,55,60,60,99,41,99,0.00%,.1,.5,14.23
https://www.demoblaze.com/cart.html-4,10,56,52,55,55,99,43,99,0.00%,.1,.0,14.66
https://www.demoblaze.com/cart.html-5,10,57,53,58,58,108,43,108,0.00%,.1,.0,17.16
https://www.demoblaze.com/cart.html-6,10,52,54,57,57,83,33,83,0.00%,.1,.0,13.03
https://www.demoblaze.com/cart.html-7,10,62,55,86,86,104,52,104,0.00%,.1,.0,16.75
https://www.demoblaze.com/cart.html-8,10,63,54,80,80,101,52,101,0.00%,.1,.0,16.17
https://www.demoblaze.com/cart.html-9,10,64,52,99,99,99,38,99,0.00%,.1,.0,22.31
https://www.demoblaze.com/cart.html-10,10,73,58,98,98,99,34,99,0.00%,.1,.0,24.08
https://www.demoblaze.com/cart.html-11,10,73,60,98,98,103,34,103,0.00%,.1,.0,23.76
https://www.demoblaze.com/cart.html-12,10,70,55,98,98,104,51,104,0.00%,.1,.0,21.14
https://www.demoblaze.com/cart.html-13,10,57,54,59,59,107,35,107,0.00%,.1,.4,18.12
https://www.demoblaze.com/cart.html-14,10,51,54,57,57,62,36,62,0.00%,.1,.4,8.41
https://api.demoblaze.com/viewcart,20,82,56,106,111,269,48,269,25.00%,.1,.0,47.67
GoToCart,10,732,710,809,809,921,643,921,50.00%,.1,2.3,75.62
https://api.demoblaze.com/deletecart,20,68,59,99,99,115,50,115,0.00%,.1,.0,18.94
PlaceOrder,7,602,593,643,643,643,570,643,28.57%,.0,.2,27.94
LogOut,7,221,214,238,265,265,188,265,0.00%,.0,.2,24.59
TOTAL,1042,98,58,167,387,671,2,921,2.69%,4.3,123.7,126.72
