Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
https://www.demoblaze.com/index.html,36,161,36,451,395,146.75,0.00%,.1,23.54,162528.7
https://www.demoblaze.com/index.html-0,10,109,82,149,118,16.88,0.00%,.1,0.55,8051.3
https://www.demoblaze.com/index.html-1,10,50,38,58,58,7.12,0.00%,.1,0.38,5618.2
https://www.demoblaze.com/index.html-2,10,117,103,153,138,15.40,0.00%,.1,2.79,40750.6
https://www.demoblaze.com/index.html-3,10,101,80,118,111,10.44,0.00%,.1,1.04,15191.9
https://www.demoblaze.com/index.html-4,10,93,80,105,102,8.46,0.00%,.1,0.21,3060.9
https://www.demoblaze.com/index.html-5,10,93,79,109,101,9.02,0.00%,.1,0.08,1165.3
https://www.demoblaze.com/index.html-6,10,95,80,105,101,7.55,0.00%,.1,0.29,4263.4
https://www.demoblaze.com/index.html-7,10,109,74,133,131,17.51,0.00%,.1,1.89,27679.0
https://www.demoblaze.com/index.html-8,10,110,81,140,137,18.24,0.00%,.1,2.34,34140.0
https://www.demoblaze.com/index.html-9,10,111,77,137,128,16.97,0.00%,.1,2.39,34899.0
https://www.demoblaze.com/index.html-10,10,119,83,163,132,20.21,0.00%,.1,2.81,41037.4
https://www.demoblaze.com/index.html-11,10,167,110,247,213,38.79,0.00%,.1,15.34,224281.1
https://www.demoblaze.com/index.html-12,10,141,92,196,167,30.36,0.00%,.1,7.16,104668.5
https://www.demoblaze.com/index.html-13,10,57,37,101,69,17.62,0.00%,.1,0.74,10835.6
https://www.demoblaze.com/index.html-14,10,58,39,80,63,10.53,0.00%,.1,1.49,21740.9
https://www.demoblaze.com/index.html-15,10,50,38,58,58,7.95,0.00%,.1,0.50,7291.3
https://www.demoblaze.com/config.json,56,49,33,81,57,9.17,0.00%,.2,0.05,233.7
https://api.demoblaze.com/entries,36,118,74,217,141,28.30,0.00%,.1,0.43,2932.1
https://hls.demoblaze.com/index.m3u8,55,15,2,91,42,16.70,0.00%,.2,0.10,448.8
https://hls.demoblaze.com/about_demo_hls_600k.m3u8,55,5,3,12,7,1.39,0.00%,.2,0.29,1322.1
https://hls.demoblaze.com/about_demo_hls_600k00000.ts,54,11,3,39,34,11.23,0.00%,.2,22.30,100764.8
Load_Home,10,651,597,804,695,60.21,0.00%,.1,77.59,1138447.6
https://api.demoblaze.com/signup,20,90,51,281,135,54.39,0.00%,.1,0.03,212.0
Sign In,10,181,123,334,202,55.76,0.00%,.1,0.03,424.0
https://api.demoblaze.com/login,20,77,48,142,105,28.15,0.00%,.1,0.03,233.5
https://api.demoblaze.com/check,76,65,49,96,84,13.23,10.53%,.3,0.09,278.1
Login,10,511,452,550,545,29.86,20.00%,.1,0.35,5087.0
